nome;frequencia;no_casos
MARIA;47781;1
JOSE;42266;1
ANTONIO;18102;1
JOAO;13079;1
FRANCISCO;8935;1
LUIZ;7028;1
CARLOS;6350;1
MANOEL;5646;1
PAULO;5298;1
ANA;3751;1
SEBASTIAO;3671;1
PEDRO;3568;1
JORGE;2690;1
RAIMUNDO;2461;1
GERALDO;2404;1
MARCOS;2323;1
FRANCISCA;1993;1
SEVERINO;1962;1
BENEDITO;1882;1
LUIS;1848;1
JOSEFA;1788;1
JOAQUIM;1688;1
ROBERTO;1676;1
ANTONIA;1598;1
EDSON;1527;1
MARCELO;1428;1
SERGIO;1418;1
MARIO;1338;1
NELSON;1338;1
CLAUDIO;1161;1
ROSA;1095;1
FERNANDO;1090;1
EDUARDO;1059;1
ALEXANDRE;1049;1
MARCO;996;1
JULIO;977;1
MARCIO;953;1
DANIEL;924;1
SEVERINA;924;1
WILSON;906;1
CICERO;893;1
APARECIDA;886;1
VERA;886;1
GILBERTO;838;1
ANDRE;830;1
TEREZINHA;823;1
RICARDO;814;1
JOANA;812;1
OSVALDO;811;1
RITA;787;1
VICENTE;773;1
SEBASTIANA;768;1
LUZIA;763;1
RAIMUNDA;728;1
MIGUEL;724;1
LUIZA;696;1
BENEDITA;687;1
REGINALDO;671;1
WALTER;658;1
RONALDO;656;1
VALDIR;655;1
GERALDA;653;1
HELENA;647;1
FABIO;638;1
JAIR;635;1
MILTON;634;1
SONIA;633;1
SANDRA;624;1
MAURICIO;623;1
HELIO;621;1
ROGERIO;621;1
GABRIEL;614;1
MARCIA;612;1
RENATO;608;1
DOMINGOS;592;1
LUCIANO;584;1
REGINA;576;1
ADILSON;564;1
ORLANDO;564;1
JULIA;558;1
APARECIDO;555;1
TEREZA;549;1
NAIR;546;1
MAURO;529;1
ALICE;528;1
ELIAS;528;1
CELSO;519;1
ANNA;511;1
ADRIANA;509;1
LUCIA;494;1
ANDERSON;492;1
SILVIO;489;1
ISABEL;485;1
RUBENS;475;1
ANGELA;470;1
IRENE;468;1
MARLENE;466;1
MANUEL;462;1
VALTER;461;1
ALBERTO;454;1
ELZA;451;1
ROSANGELA;442;1
CECILIA;441;1
REINALDO;440;1
MARGARIDA;434;1
CONCEICAO;433;1
JOEL;427;1
ALZIRA;426;1
ALCIDES;422;1
IZABEL;421;1
ARLINDO;416;1
FLAVIO;415;1
LUCAS;415;1
RAFAEL;415;1
ADRIANO;414;1
ADEMIR;411;1
ARNALDO;389;1
LEONARDO;388;1
ADAO;387;1
NILTON;387;1
EDVALDO;386;1
NILSON;385;1
CLAUDIA;383;1
OSWALDO;382;1
OSMAR;381;1
ALFREDO;378;1
AUGUSTO;375;1
LAURA;369;1
ROBSON;364;1
VANDERLEI;362;1
EDMILSON;361;1
RODRIGO;361;1
HILDA;359;1
VALDEMAR;358;1
IRACEMA;355;1
LEANDRO;354;1
VITORIA;354;1
SUELI;353;1
JOSUE;352;1
GILSON;351;1
EVA;350;1
WAGNER;350;1
WALDEMAR;340;1
GERSON;338;1
MARINA;338;1
LUCIANA;324;1
ARMANDO;323;1
IVAN;323;1
CELIA;322;1
NIVALDO;320;1
AMELIA;314;1
EUNICE;306;1
GILMAR;306;1
ELIANE;305;1
PATRICIA;304;1
ANGELO;297;1
EDILSON;294;1
BRUNO;293;1
AMARO;292;1
HENRIQUE;292;1
GUILHERME;290;1
ANGELINA;288;1
LOURDES;288;1
MOISES;288;1
LOURIVAL;287;1
SAMUEL;287;1
EDNA;283;1
MOACIR;283;1
OLGA;283;1
ELVIRA;282;1
MARLI;281;1
SILVIA;281;1
ALEX;280;1
AILTON;277;1
NEUZA;276;1
JAIME;275;1
VALDEMIR;272;1
WELLINGTON;272;1
NEUSA;271;1
BEATRIZ;267;1
EMILIA;266;1
DAVID;264;1
JONAS;264;1
MARIANA;264;1
VITOR;261;1
ALVARO;258;1
SOLANGE;257;1
ZILDA;256;1
LAZARO;254;1
VALMIR;253;1
MARTA;252;1
CRISTIANO;250;1
VALDECI;246;1
VALDOMIRO;245;1
SIMONE;243;1
IVO;232;1
CESAR;230;1
TANIA;230;1
ELIANA;229;1
GUSTAVO;229;1
OTAVIO;229;1
CRISTIANE;228;1
EUCLIDES;227;1
SANDRO;227;1
SIDNEY;226;1
SILVANA;225;1
ROSALINA;223;1
OLIVIA;218;1
EDIVALDO;217;1
JAIRO;217;1
THIAGO;217;1
ANDREIA;216;1
IVONE;216;1
WALDIR;216;1
ODETE;213;1
OSCAR;213;1
MATHEUS;211;1
ROSELI;211;1
ROSANA;210;1
CELIO;209;1
CLOVIS;208;1
FELIPE;208;1
ADEMAR;206;1
CRISTINA;205;1
ISRAEL;203;1
CLAUDINEI;201;1
NILZA;201;1
ELAINE;199;1
JUAREZ;199;1
THEREZA;199;1
DOUGLAS;198;1
CARMEN;197;1
DJALMA;196;1
MARILENE;196;1
VILMA;194;1
RUTH;192;1
SIDNEI;192;1
