nome;frequencia;no_casos
JOSE;14715;1
PEREIRA;13438;1
MARIA;13233;1
SILVA;12494;1
CARLOS;11428;1
FERREIRA;10975;1
ALVES;10744;1
SANTOS;7856;1
APARECIDA;7561;1
ANTONIO;7409;1
RODRIGUES;7252;1
GOMES;6205;1
OLIVEIRA;5978;1
SOUZA;5294;1
ROBERTO;4563;1
BATISTA;4423;1
FRANCISCO;4212;1
LUIZ;4094;1
CONCEICAO;3392;1
LOURDES;3382;1
RIBEIRO;3233;1
GONCALVES;2955;1
LOPES;2929;1
SOARES;2923;1
VIEIRA;2907;1
JESUS;2880;1
MARTINS;2844;1
ROSA;2784;1
BARBOSA;2706;1
ALBERTO;2705;1
LIMA;2483;1
COSTA;2399;1
FERNANDES;2263;1
MOREIRA;2080;1
CARMO;2069;1
APARECIDO;2021;1
LUCIA;2019;1
CESAR;1970;1
DIAS;1941;1
HENRIQUE;1710;1
MARQUES;1690;1
ALMEIDA;1649;1
NUNES;1642;1
CARDOSO;1608;1
FATIMA;1595;1
PEDRO;1575;1
CRISTINA;1529;1
AUGUSTO;1528;1
ARAUJO;1513;1
RAMOS;1382;1
TEIXEIRA;1376;1
NASCIMENTO;1372;1
PAULO;1353;1
CARVALHO;1338;1
MENDES;1310;1
MANOEL;1265;1
FRANCISCA;1209;1
PAULA;1207;1
SOUSA;1159;1
BEZERRA;1150;1
ASSIS;1110;1
LUIS;1074;1
HELENA;1071;1
DORES;1067;1
ROCHA;1050;1
PINTO;1044;1
LUIZA;1036;1
REGINA;1003;1
MACHADO;956;1
FERNANDO;931;1
BORGES;920;1
MARCOS;915;1
SERGIO;907;1
GRACAS;893;1
ANDRADE;884;1
EDUARDO;869;1
SANTANA;858;1
VICENTE;835;1
FREITAS;833;1
JOAO;833;1
REIS;833;1
CORREA;805;1
MONTEIRO;787;1
CORREIA;783;1
NEVES;734;1
BARROS;727;1
PIRES;721;1
CRUZ;716;1
PINHEIRO;713;1
CANDIDO;698;1
FELIX;697;1
ALEXANDRE;694;1
NONATO;677;1
MORAES;662;1
SEVERINO;662;1
RICARDO;658;1
NOGUEIRA;647;1
JOAQUIM;643;1
LEITE;640;1
XAVIER;636;1
GARCIA;632;1
GERALDO;632;1
JORGE;624;1
BENEDITO;619;1
RAIMUNDO;608;1
SOCORRO;598;1
DOMINGOS;596;1
ANTONIA;587;1
CAMPOS;587;1
TAVARES;585;1
CHAGAS;579;1
MOURA;565;1
BISPO;561;1
LOURENCO;558;1
INACIO;555;1
MELO;553;1
CASTRO;551;1
MIGUEL;539;1
MARIANO;520;1
CLAUDIO;506;1
JOSEFA;503;1
VITORIA;503;1
BRITO;501;1
BENTO;493;1
COELHO;480;1
SILVEIRA;480;1
MIRANDA;478;1
CUNHA;474;1
PAULINO;449;1
CORDEIRO;448;1
ANTUNES;445;1
CAETANO;443;1
VIANA;441;1
MESSIAS;439;1
AMARO;438;1
DUARTE;423;1
CANDIDA;415;1
GONZAGA;415;1
CARNEIRO;414;1
ELIAS;414;1
ROGERIO;413;1
BERNARDO;403;1
AZEVEDO;402;1
FARIAS;401;1
GLORIA;401;1
MADALENA;399;1
RITA;399;1
FELIPE;395;1
SEBASTIAO;394;1
GABRIEL;392;1
BAPTISTA;386;1
ANDRE;377;1
MEDEIROS;351;1
PENHA;351;1
FONSECA;350;1
SIQUEIRA;349;1
SALES;347;1
EVANGELISTA;346;1
VITOR;335;1
MATOS;334;1
AUGUSTA;331;1
GUIMARAES;327;1
BUENO;317;1
DONIZETE;317;1
MATIAS;315;1
MENEZES;313;1
MORAIS;312;1
AMARAL;310;1
ESPIRITO;309;1
JULIA;309;1
MACEDO;307;1
TEREZA;304;1
ANA;300;1
APPARECIDA;300;1
AURELIO;299;1
MACIEL;299;1
DANTAS;295;1
LUCAS;295;1
ABREU;293;1
LUZ;293;1
ANJOS;291;1
CAVALCANTE;290;1
BRAGA;288;1
CASSIA;288;1
LUCIO;288;1
TEREZINHA;288;1
FRANCO;285;1
GUEDES;280;1
CICERO;279;1
FRANCA;276;1
RIBAMAR;275;1
FREIRE;272;1
FIRMINO;269;1
LEANDRO;269;1
FARIA;264;1
GALDINO;264;1
MARINHO;264;1
JOANA;262;1
MARCELINO;261;1
CAMARGO;259;1
TORRES;258;1
LUZIA;249;1
CELIA;248;1
MOTA;248;1
AMELIA;242;1
LINO;242;1
DOMINGUES;241;1
AGUIAR;238;1
PACHECO;237;1
CEZAR;235;1
VINICIUS;234;1
CHAVES;233;1
MARIO;233;1
QUEIROZ;232;1
PAIVA;231;1
ISABEL;229;1
TADEU;225;1
TEODORO;225;1
AFONSO;223;1
FIGUEIREDO;222;1
LEMOS;222;1
CABRAL;221;1
MUNIZ;219;1
BARRETO;216;1
MAURICIO;214;1
BRAZ;213;1
GUILHERME;213;1
MENDONCA;213;1
CAMILO;212;1
SIMOES;211;1
ANGELO;209;1
IZABEL;205;1
MAGALHAES;202;1
PAZ;202;1
CUSTODIO;201;1
AMORIM;200;1
MAIA;200;1
BASTOS;199;1
LUCIANO;199;1
AVELINO;198;1
VAZ;197;1
SAMPAIO;194;1
RAIMUNDA;193;1
LEAL;192;1
MARCELO;191;1
JUSTINO;190;1
BENEDITA;187;1
PRADO;185;1
VICTOR;185;1
ARRUDA;184;1
CLARA;183;1
JACINTO;182;1
DUTRA;181;1
WILSON;181;1
ALBUQUERQUE;180;1
NAZARE;180;1
ROSARIO;180;1
VASCONCELOS;180;1
CAROLINA;179;1
ROQUE;179;1
MELLO;178;1
TELES;177;1
MARCIO;175;1
FAUSTINO;173;1
EDUARDA;172;1
JULIO;172;1
TRINDADE;172;1
ADRIANO;170;1
DANIEL;170;1
SANTIAGO;170;1
VENANCIO;170;1
BEATRIZ;169;1
RENATO;169;1
TOMAZ;169;1
ALICE;167;1
BERNARDES;167;1
SA;167;1
 ;164;1
PERES;164;1
SABINO;164;1
SANT;164;1
LURDES;163;1
INES;161;1
RUFINO;161;1
DINIZ;160;1
DEUS;159;1
COUTINHO;156;1
FERRAZ;154;1
EMILIA;152;1
CECILIA;151;1
AUXILIADORA;150;1
FAGUNDES;148;1
PASSOS;148;1
PEIXOTO;145;1
SERAFIM;145;1
HONORIO;144;1
AMANCIO;143;1
EUGENIO;143;1
LEMES;143;1
FELICIANO;141;1
ANGELICA;140;1
CLAUDIA;139;1
CERQUEIRA;138;1
REZENDE;138;1
CELESTINO;136;1
PAES;136;1
RANGEL;136;1
ALFREDO;135;1
EDSON;135;1
FEITOSA;135;1
AQUINO;134;1
GALVAO;133;1
LINS;132;1
JUNIOR;131;1
MANUEL;131;1
LIRA;130;1
PESSOA;129;1
RAFAEL;129;1
SILVESTRE;129;1
SEVERINA;128;1
PONTES;127;1
SENA;127;1
PAIXAO;126;1
SANTO;125;1
SILVERIO;125;1
