nome;frequencia;no_casos
SILVA;86624;1
SANTOS;41331;1
OLIVEIRA;20021;1
SOUZA;15076;1
LIMA;7369;1
PEREIRA;6547;1
FERREIRA;5928;1
COSTA;5561;1
NASCIMENTO;5290;1
CONCEICAO;4918;1
RODRIGUES;4881;1
JESUS;4766;1
ALMEIDA;3585;1
ALVES;3488;1
SOUSA;3315;1
CARVALHO;3055;1
RIBEIRO;2957;1
ARAUJO;2950;1
GOMES;2796;1
BARBOSA;2478;1
MARTINS;2463;1
GONCALVES;2365;1
ROCHA;2068;1
LOPES;1920;1
SOARES;1871;1
CRUZ;1833;1
VIEIRA;1803;1
ANDRADE;1794;1
FREITAS;1766;1
FERNANDES;1748;1
DIAS;1703;1
SANTANA;1646;1
MELO;1607;1
ROSA;1572;1
MACHADO;1568;1
JUNIOR;1527;1
REIS;1522;1
MORAES;1405;1
MOREIRA;1389;1
CARDOSO;1320;1
RAMOS;1285;1
PINTO;1217;1
TEIXEIRA;1156;1
CAMPOS;1082;1
BARROS;1078;1
PAULA;1058;1
BATISTA;1045;1
CUNHA;1035;1
MOURA;1026;1
NUNES;1018;1
BRITO;1016;1
MARQUES;994;1
CASTRO;948;1
LEITE;904;1
MENDES;882;1
MIRANDA;842;1
FONSECA;811;1
CORREA;788;1
NEVES;785;1
BORGES;770;1
MONTEIRO;760;1
SILVEIRA;756;1
GARCIA;701;1
MORAIS;683;1
AZEVEDO;675;1
GUIMARAES;667;1
NOGUEIRA;662;1
PINHEIRO;657;1
AMARAL;641;1
MEDEIROS;633;1
CAMARGO;630;1
SIQUEIRA;629;1
BEZERRA;624;1
COELHO;623;1
MATOS;592;1
DUARTE;581;1
FARIAS;576;1
PIRES;574;1
FARIA;543;1
MACEDO;543;1
ABREU;539;1
MENEZES;535;1
ASSIS;534;1
CARMO;532;1
FRANCA;530;1
QUEIROZ;504;1
TAVARES;502;1
VIANA;493;1
AMORIM;484;1
CORREIA;481;1
AGUIAR;458;1
MELLO;451;1
BRAGA;446;1
PRADO;437;1
PAIVA;418;1
XAVIER;415;1
LUZ;410;1
MOTA;409;1
ANJOS;405;1
MAGALHAES;399;1
MENDONCA;399;1
FRANCISCO;385;1
CARNEIRO;381;1
CORDEIRO;374;1
FIGUEIREDO;374;1
CAVALCANTE;372;1
BUENO;369;1
CHAVES;368;1
MAIA;368;1
VASCONCELOS;366;1
SALES;365;1
BARRETO;359;1
ALBUQUERQUE;355;1
ARRUDA;355;1
MACIEL;342;1
CABRAL;337;1
SA;330;1
FRANCO;329;1
TORRES;324;1
CHAGAS;312;1
LEAL;312;1
BASTOS;303;1
VICENTE;294;1
DANTAS;282;1
LOURENCO;278;1
PASSOS;278;1
PACHECO;273;1
SANTIAGO;266;1
SAMPAIO;264;1
FREIRE;261;1
LUIZ;260;1
LEMOS;253;1
SANTO;253;1
CAETANO;251;1
CANDIDO;250;1
DINIZ;250;1
MARIANO;249;1
TRINDADE;249;1
REZENDE;244;1
PONTES;243;1
DOMINGUES;236;1
COUTINHO;235;1
SENA;234;1
ANTUNES;233;1
ANTONIO;228;1
DUTRA;227;1
GUEDES;226;1
AQUINO;224;1
MARINHO;221;1
BRANDAO;218;1
COUTO;216;1
MATTOS;214;1
FELIX;212;1
BENTO;211;1
PAIXAO;205;1
DOMINGOS;204;1
FEITOSA;203;1
MESQUITA;203;1
TOLEDO;193;1
LIRA;187;1
BAPTISTA;185;1
GODOY;184;1
LACERDA;184;1
DAMASCENO;183;1
PEDROSO;182;1
NETTO;181;1
MUNIZ;179;1
SIMOES;179;1
FERRAZ;176;1
PEIXOTO;171;1
PIMENTEL;170;1
BISPO;167;1
VARGAS;167;1
PESSOA;166;1
MOTTA;165;1
ARATJO;164;1
PERES;163;1
FAGUNDES;162;1
ALENCAR;161;1
SANCHES;161;1
FURTADO;159;1
BERNARDO;158;1
PAULINO;156;1
PAULO;156;1
GALVAO;153;1
BONFIM;152;1
PINHO;152;1
MARIA;151;1
BARBOZA;150;1
ALCANTARA;149;1
GAMA;149;1
BRAZ;148;1
PORTO;148;1
CUSTODIO;145;1
AUGUSTO;144;1
RESENDE;144;1
RANGEL;143;1
TEODORO;143;1
VAZ;143;1
CERQUEIRA;138;1
MARCELINO;137;1
PAZ;135;1
EVANGELISTA;132;1
PEDRO;132;1
JORGE;131;1
INACIO;127;1
VEIGA;127;1
MIGUEL;125;1
PIMENTA;124;1
ASSUNCAO;123;1
MATIAS;123;1
NOVAES;120;1
GOES;119;1
GOUVEIA;119;1
ROSARIO;119;1
ALEXANDRE;118;1
BORBA;118;1
GUERRA;118;1
ALVARENGA;117;1
FONTES;117;1
LISBOA;117;1
BERNARDES;114;1
BOTELHO;114;1
LUCAS;114;1
ROSSI;114;1
VALE;114;1
CARLOS;113;1
CAVALCANTI;113;1
LINS;112;1
CASTILHO;111;1
ELIAS;110;1
FLORES;109;1
BARROSO;108;1
LEAO;108;1
PADILHA;108;1
RAMALHO;108;1
VENTURA;108;1
GOULART;107;1
AVILA;106;1
GONZAGA;106;1
REGO;106;1
SILVERIO;103;1
JOSE;102;1
BANDEIRA;100;1
BRANCO;100;1
MORENO;100;1
LARA;99;1
DEUS;98;1
VILELA;98;1
CAMARA;97;1
FELIPE;97;1
PAES;96;1
VIDAL;96;1
CAMILO;95;1
LOBO;95;1
RAIMUNDO;95;1
TELES;95;1
GABRIEL;94;1
JARDIM;94;1
LEMES;94;1
MULLER;93;1
HENRIQUE;92;1
FRAGA;91;1
BARCELOS;90;1
LEME;90;1
BENEDITO;89;1
FAUSTINO;89;1
GALDINO;89;1
SALLES;89;1
LUCENA;88;1
MEIRA;86;1
MESSIAS;86;1
PENHA;86;1
ARAGAO;85;1
ESTEVES;85;1
FIRMINO;85;1
BRASIL;84;1
CESAR;84;1
GERALDO;84;1
LEANDRO;83;1
SARAIVA;83;1
CALDAS;82;1
PEREZ;82;1
RABELO;82;1
ROQUE;82;1
SILVESTRE;82;1
LINO;81;1
MANOEL;81;1
MARCONDES;80;1
CALDEIRA;79;1
DORES;79;1
SALVADOR;79;1
SIMAO;79;1
VALERIO;79;1
PEDROSA;78;1
VIANNA;78;1
VENANCIO;77;1
GUIMARÂ¦ES;76;1
RIBAS;75;1
VELOSO;75;1
FERRARI;74;1
GODOI;74;1
LOUREIRO;74;1
ARANTES;72;1
RIOS;72;1
RUIZ;72;1
SABINO;72;1
AFONSO;71;1
NOBRE;71;1
AMARO;70;1
APARECIDA;70;1
MATA;70;1
ANDRE;69;1
BITTENCOURT;69;1
DOURADO;69;1
RUFINO;69;1
SEVERINO;69;1
FIGUEIRA;68;1
MEIRELES;68;1
QUADROS;68;1
SALGADO;68;1
SP;68;1
CLEMENTE;67;1
PENA;67;1
SERRA;67;1
MARTINEZ;66;1
SERAFIM;66;1
ANNA;65;1
FALCAO;65;1
GREGORIO;65;1
HORA;65;1
ESPINDOLA;64;1
GOIS;64;1
JUSTINO;64;1
ROBERTO;64;1
CALIXTO;63;1
GASPAR;63;1
JANUARIO;63;1
SOBRAL;63;1
MATHIAS;62;1
NOVAIS;62;1
CARDOZO;61;1
CELESTINO;61;1
COIMBRA;61;1
ROMAO;61;1
TOMAZ;61;1
VALENTE;61;1
AMANCIO;60;1
CAVALHEIRO;60;1
FLORENCIO;60;1
LUCIANO;60;1
NOBREGA;60;1
VALLE;60;1
DANIEL;59;1
DAVID;59;1
MARINS;59;1
MATEUS;59;1
MODESTO;59;1
RICARDO;59;1
VALENTIM;59;1
FIGUEREDO;58;1
LUNA;58;1
PRIMO;58;1
SOUTO;58;1
JACINTO;57;1
FELICIANO;56;1
HONORATO;56;1
MADEIRA;56;1
JOAQUIM;55;1
LESSA;55;1
VITORINO;55;1
MUNHOZ;54;1
NORONHA;54;1
PRATES;54;1
THOMAZ;54;1
VERAS;54;1
ANA;53;1
BRUNO;53;1
GODINHO;53;1
BALBINO;52;1
JULIO;52;1
SACRAMENTO;52;1
BOAS;51;1
CINTRA;51;1
LINHARES;51;1
LUCIO;51;1
NERY;51;1
PARREIRA;51;1
PORTELA;51;1
SARMENTO;51;1
SCHNEIDER;51;1
TELLES;51;1
TERRA;51;1
ANGELO;50;1
BARCELLOS;50;1
BASILIO;50;1
BERNARDINO;50;1
FIDELIS;50;1
IGNACIO;50;1
PALMA;50;1
AGOSTINHO;49;1
AMBROSIO;49;1
AVELAR;49;1
HOLANDA;49;1
