nome;frequencia;no_casos
MARIA;105837;1
 ;21499;1
ANA;10169;1
FRANCISCA;7952;1
JOSEFA;6870;1
ANTONIA;6818;1
JOANA;4792;1
ROSA;4205;1
BENEDITA;3412;1
SEBASTIANA;3400;1
RITA;3035;1
LUIZA;2858;1
RAIMUNDA;2789;1
SEVERINA;2665;1
JULIA;2512;1
LUZIA;2368;1
TEREZA;2209;1
TEREZINHA;2031;1
AMELIA;1897;1
APARECIDA;1776;1
ANNA;1765;1
ALICE;1695;1
IZABEL;1665;1
CECILIA;1630;1
EMILIA;1599;1
HELENA;1594;1
GERALDA;1556;1
ALZIRA;1543;1
MARGARIDA;1535;1
ISABEL;1513;1
NAIR;1484;1
LAURA;1246;1
IGNORADO;1243;1
ELVIRA;1236;1
CONCEICAO;1210;1
ANGELINA;1127;1
REGINA;1126;1
MARIANA;1107;1
JOAQUINA;1078;1
ROSALINA;1066;1
IRENE;1014;1
ELZA;993;1
OLIVIA;946;1
CAROLINA;899;1
JOSEFINA;898;1
HILDA;893;1
LUCIA;866;1
EVA;861;1
IRACEMA;845;1
CANDIDA;839;1
AUGUSTA;831;1
ADELINA;830;1
VERA;799;1
ANGELA;778;1
ETELVINA;777;1
MARLENE;749;1
IDALINA;742;1
LOURDES;734;1
VIRGINIA;721;1
ZULMIRA;721;1
ADELAIDE;698;1
THEREZA;684;1
QUITERIA;678;1
OLGA;677;1
ADELIA;665;1
ODETE;665;1
MARINA;661;1
CATARINA;656;1
PAULINA;646;1
JULIETA;638;1
GUILHERMINA;628;1
ALBERTINA;627;1
SONIA;624;1
NAO;621;1
ALEXANDRINA;613;1
FILOMENA;609;1
BENEDICTA;583;1
EUNICE;581;1
LEONOR;580;1
ERNESTINA;579;1
ISAURA;575;1
TERESA;572;1
DOLORES;569;1
AURORA;567;1
ZILDA;561;1
ELISA;553;1
CELINA;552;1
LIDIA;552;1
JOVELINA;542;1
OLINDA;529;1
IZAURA;523;1
NEUZA;513;1
OTILIA;512;1
ALMERINDA;508;1
CARMELITA;502;1
NOEMIA;492;1
DEOLINDA;488;1
JANDIRA;486;1
ELIZA;480;1
IRACI;480;1
VITALINA;480;1
NEUSA;474;1
SANTINA;474;1
LAURINDA;472;1
AMARA;466;1
LAZARA;464;1
AMALIA;459;1
GUIOMAR;452;1
CELIA;450;1
EDITE;447;1
ALAIDE;441;1
GENI;432;1
INES;430;1
MADALENA;429;1
BEATRIZ;426;1
DOMINGAS;426;1
CARMEN;418;1
CICERA;417;1
CARMEM;416;1
IVONE;416;1
MERCEDES;414;1
DIRCE;412;1
CLARA;409;1
HERMINIA;409;1
MARTA;405;1
MATILDE;401;1
PALMIRA;400;1
ARLINDA;397;1
EUGENIA;397;1
CRISTINA;390;1
MARCELINA;386;1
MINERVINA;383;1
NILZA;382;1
LEOPOLDINA;380;1
ANALIA;378;1
NADIR;375;1
ILDA;372;1
OLIMPIA;371;1
DALVA;367;1
GEORGINA;366;1
SANDRA;366;1
VITORIA;366;1
AUREA;365;1
ANITA;363;1
LAUDELINA;357;1
VICENTINA;357;1
MARCIA;356;1
ENEDINA;354;1
AVELINA;351;1
ADRIANA;350;1
DURVALINA;350;1
JUDITH;350;1
BALBINA;346;1
JOSINA;346;1
RUTH;346;1
NEIDE;342;1
DORALICE;341;1
EFIGENIA;334;1
IOLANDA;334;1
VILMA;334;1
JOVINA;332;1
ARMINDA;328;1
