nome;frequencia;no_casos
MARIA;44094;1
SILVA;10384;1
PEREIRA;9901;1
ALVES;8922;1
JOSE;8586;1
FERREIRA;8186;1
ROSA;6981;1
SANTOS;6403;1
APARECIDA;6031;1
FRANCISCA;5954;1
RODRIGUES;5853;1
CONCEICAO;5808;1
OLIVEIRA;5216;1
GOMES;5045;1
SOUZA;4758;1
JESUS;4334;1
LOURDES;4180;1
RIBEIRO;2909;1
CARMO;2879;1
GONCALVES;2521;1
VIEIRA;2517;1
SOARES;2505;1
CANDIDA;2447;1
LOPES;2410;1
LUIZA;2386;1
ANTONIA;2385;1
LIMA;2368;1
MARTINS;2356;1
BARBOSA;2325;1
COSTA;2227;1
FERNANDES;1939;1
DORES;1902;1
DIAS;1875;1
BATISTA;1856;1
MOREIRA;1812;1
LUCIA;1694;1
AUGUSTA;1616;1
NUNES;1507;1
ALMEIDA;1490;1
JA;1490;1
RITA;1442;1
MARQUES;1386;1
ESPIRITO;1384;1
JOSEFA;1330;1
ANA;1306;1
HELENA;1274;1
MADALENA;1260;1
ARAUJO;1259;1
NASCIMENTO;1244;1
CARVALHO;1234;1
MENDES;1231;1
TEIXEIRA;1221;1
CARDOSO;1164;1
FATIMA;1158;1
RAMOS;1143;1
JOANA;1142;1
PAULA;1141;1
JOAQUINA;1098;1
TEREZA;1014;1
ROCHA;958;1
BEZERRA;904;1
CRISTINA;904;1
SOUSA;895;1
PINTO;893;1
AMELIA;887;1
NEVES;882;1
GRACAS;867;1
MACHADO;840;1
AMBOS;832;1
BENEDITA;806;1
ANDRADE;800;1
BORGES;791;1
CORREA;775;1
GLORIA;770;1
JULIA;731;1
FREITAS;725;1
PIRES;695;1
SOCORRO;695;1
SANTANA;691;1
REGINA;688;1
CRUZ;686;1
LEITE;685;1
IZABEL;684;1
MONTEIRO;679;1
ISABEL;638;1
GARCIA;633;1
MORAES;622;1
BARROS;615;1
CORREIA;610;1
REIS;608;1
PINHEIRO;606;1
SEVERINA;588;1
RAIMUNDA;575;1
BRASILEIROS;565;1
NOGUEIRA;564;1
CAMPOS;563;1
TAVARES;547;1
XAVIER;541;1
SILVEIRA;534;1
MOURA;533;1
CASTRO;531;1
PENHA;530;1
MELO;521;1
