nome;frequencia;no_casos
SILVA;57293;1
SANTOS;30292;1
CONCEICAO;27154;1
JESUS;24928;1
OLIVEIRA;15737;1
SOUZA;12147;1
LIMA;6349;1
PEREIRA;5344;1
FERREIRA;4909;1
COSTA;4687;1
NASCIMENTO;4458;1
FALECIDOS;4218;1
FALECIDA;3847;1
RODRIGUES;3834;1
ALMEIDA;3183;1
ALVES;2885;1
SOUSA;2774;1
CARVALHO;2771;1
ARAUJO;2674;1
GOMES;2507;1
RIBEIRO;2465;1
BARBOSA;2128;1
MARTINS;2082;1
ROCHA;1855;1
GONCALVES;1849;1
CRUZ;1830;1
ROSA;1729;1
SOARES;1709;1
LOPES;1678;1
ANDRADE;1641;1
VIEIRA;1609;1
FREITAS;1608;1
DIAS;1548;1
MELO;1506;1
SANTANA;1469;1
FERNANDES;1427;1
REIS;1372;1
SANTO;1361;1
MACHADO;1307;1
MORAES;1272;1
MOREIRA;1235;1
RAMOS;1170;1
CARDOSO;1138;1
PINTO;1050;1
CARMO;1034;1
TEIXEIRA;1034;1
CAMPOS;994;1
BARROS;977;1
PAULA;960;1
MOURA;952;1
BRITO;930;1
NUNES;928;1
BATISTA;896;1
CASTRO;879;1
CUNHA;873;1
MARQUES;845;1
NEVES;843;1
MENDES;809;1
LEITE;797;1
MIRANDA;755;1
SILVEIRA;731;1
FONSECA;713;1
BORGES;705;1
CORREA;676;1
MONTEIRO;662;1
AZEVEDO;646;1
MORAIS;641;1
PINHEIRO;639;1
NOGUEIRA;617;1
AMARAL;613;1
DORES;612;1
GARCIA;612;1
ANJOS;607;1
SIQUEIRA;591;1
CAMARGO;580;1
GUIMARAES;576;1
MACEDO;572;1
MATOS;572;1
COELHO;563;1
DUARTE;561;1
MEDEIROS;561;1
FARIAS;549;1
BEZERRA;542;1
PIRES;536;1
MENEZES;516;1
FARIA;506;1
ABREU;504;1
LUZ;495;1
ASSIS;490;1
FRANCA;483;1
CONSTA;474;1
VIANA;444;1
AGUIAR;437;1
AMORIM;431;1
TAVARES;421;1
QUEIROZ;420;1
CORREIA;405;1
BRAGA;403;1
PAIVA;403;1
MARIA;398;1
MOTA;391;1
MELLO;383;1
MAGALHAES;374;1
FIGUEIREDO;373;1
JOSE;373;1
PRADO;373;1
VASCONCELOS;369;1
MENDONCA;350;1
ARRUDA;344;1
CARNEIRO;342;1
ROSARIO;342;1
ALBUQUERQUE;338;1
XAVIER;338;1
CHAVES;328;1
CORDEIRO;321;1
BUENO;316;1
CAVALCANTE;314;1
MACIEL;314;1
FALECIDO;313;1
SALES;313;1
MAIA;305;1
BARRETO;303;1
LEAL;300;1
TORRES;300;1
SA;299;1
FRANCO;282;1
FRANCISCA;281;1
TRINDADE;276;1
CONCEiCAO;274;1
SAMPAIO;271;1
BASTOS;269;1
PASSOS;267;1
CHAGAS;266;1
DANTAS;261;1
CABRAL;260;1
LEMOS;258;1
REZENDE;241;1
PACHECO;239;1
COUTINHO;230;1
ANTUNES;229;1
FREIRE;228;1
DINIZ;227;1
FEITOSA;223;1
PAIXAO;221;1
SENA;221;1
SANTIAGO;219;1
FALECID;218;1
FRANCISCO;218;1
CANDIDA;215;1
MATTOS;212;1
COUTO;209;1
PONTES;208;1
LOURENCO;207;1
DUTRA;206;1
LIRA;204;1
MESQUITA;200;1
GUEDES;198;1
DOMINGUES;195;1
MARINHO;194;1
BRANDAO;193;1
CAETANO;188;1
PRAZERES;188;1
AQUINO;183;1
FAL;179;1
MUNIZ;178;1
PAZ;176;1
VICENTE;174;1
ARATJO;167;1
FALECI;167;1
FERRAZ;166;1
LACERDA;166;1
FELIX;164;1
SIMOES;164;1
TOLEDO;163;1
LUIZ;161;1
BONFIM;160;1
MARIANO;160;1
ALENCAR;158;1
SANCHES;158;1
BAPTISTA;157;1
FALEC;156;1
VARGAS;156;1
CANDIDO;155;1
PIMENTEL;154;1
RESENDE;154;1
FAGUNDES;153;1
PEDROSO;151;1
GLORIA;149;1
DAMASCENO;148;1
MOTTA;148;1
APARECIDA;147;1
PEIXOTO;147;1
PERES;147;1
GAMA;145;1
GODOY;145;1
PORTO;145;1
CERQUEIRA;143;1
LOURDES;142;1
RANGEL;141;1
DIVINO;139;1
BENTO;138;1
PESSOA;137;1
DOMINGOS;136;1
FALE;135;1
GALVAO;133;1
AUGUSTA;132;1
ANTONIO;131;1
BISPO;131;1
VAZ;131;1
ALCANTARA;129;1
LUIZA;129;1
FLORES;128;1
PEDRO;128;1
ANUNCIACAO;126;1
ASSUNCAO;126;1
PENHA;126;1
BRAZ;123;1
